train_loss,train_accuracy,test_loss,test_accuracy,long_loss,long_accuracy
0.047342185,0.60538435,0.05165261,0.56795317,0.059943575,0.44935
0.04720664,0.6094562,0.04682882,0.6114688,0.05963828,0.474475
0.04598198,0.6199562,0.04766367,0.60665625,0.063967414,0.45919374
0.046161365,0.6217595,0.046076,0.61640626,0.05851074,0.47142813
0.045361303,0.62549055,0.047082294,0.6102813,0.061568875,0.47812498
0.046691965,0.6162656,0.048884742,0.59900004,0.06261284,0.44895
0.04658657,0.6181719,0.045436222,0.6244531,0.05897328,0.49099687
0.044979896,0.6295219,0.044629607,0.6334063,0.05787584,0.49315
0.044762217,0.6367781,0.04581992,0.62850004,0.057323787,0.48030937
0.044967562,0.63364685,0.04676154,0.6209063,0.05895735,0.48203748
0.045073293,0.63898444,0.045009416,0.6252188,0.060375173,0.47782186
0.045755807,0.63212186,0.048135374,0.60725003,0.059743233,0.49108437
0.046676937,0.62435323,0.04619759,0.6287969,0.059470978,0.48677498
0.04403417,0.6466719,0.043492395,0.64982814,0.057416264,0.5336875
0.04295686,0.65674067,0.043594234,0.65770316,0.05626604,0.5344625
0.046551008,0.63252187,0.049012072,0.6157344,0.06937142,0.431025
0.045714356,0.63591874,0.053784315,0.56982815,0.07376913,0.49565312
0.04821379,0.6139156,0.04712764,0.61301565,0.068191975,0.47001562
0.043829404,0.6514751,0.044934962,0.64439064,0.06307556,0.5200469
0.04342335,0.65946245,0.042618927,0.6684063,0.05579498,0.56386876
0.042644545,0.66446567,0.042053055,0.6697344,0.055185158,0.5774469
0.05044119,0.59441566,0.050805263,0.5829219,0.06447032,0.43240625
0.044413995,0.6479781,0.0419513,0.6716719,0.058387153,0.5859375
0.04262633,0.66139376,0.04360674,0.6459688,0.051130686,0.5612906
0.043570485,0.6601718,0.04400359,0.6515938,0.05172403,0.5611906
0.042129487,0.6702375,0.04076885,0.6811875,0.05700659,0.5947625
0.04050563,0.6879469,0.04398287,0.6622344,0.056473255,0.56198126
0.039183717,0.70167816,0.04064054,0.6962032,0.053579044,0.62483746
0.042866133,0.68224996,0.041246444,0.6918594,0.056849487,0.59970313
0.044466924,0.6612188,0.04113445,0.68581253,0.05363366,0.60157186
0.042817205,0.66647184,0.03936808,0.6997657,0.053859357,0.62226874
0.04094068,0.6934438,0.039143402,0.70087504,0.04720651,0.640525
0.04506482,0.66127187,0.041796405,0.68640625,0.04955954,0.61123747
0.0395247,0.70599675,0.043211617,0.6676094,0.06157501,0.525725
0.041403458,0.690603,0.06384962,0.5174844,0.06813543,0.51965934
